frequency, decay constant, Q, amplitude, phase, error
1.95371e+14, 1.727801e+13, 35.5236, 2.16154e-09, -0.717198, 1.656244e-05
2.02855e+14, 9.919135e+12, 64.2483, 1.28881e-09, 2.19613, 8.537671e-06
2.08412e+14, 4.372313e+12, 149.748, 1.00476e-09, -0.777414, 5.774419e-06
2.1157e+14, 6.450152e+11, 1030.47, 3.39202e-10, 2.32152, 7.583085e-06
2.95254e+14, -2.444376e+13, -37.947, 4.35199e-16, 2.35819, 4.623015e-04
3.01167e+14, 2.164236e+13, 43.7172, 1.3805e-09, 2.01061, 4.006630e-07
3.09299e+14, 9.359609e+12, 103.817, 6.40245e-10, -0.965103, 2.587674e-08
3.1382e+14, 1.156666e+12, 852.359, 2.59873e-10, 2.13179, 4.436602e-08
3.19135e+14, 1.878392e+13, 53.3751, 2.11622e-13, 2.21743, 2.497864e-04
3.31887e+14, 1.749445e+13, 59.5991, 5.15204e-13, 1.03727, 9.709961e-04
3.69333e+14, 1.236937e+13, 93.8037, 2.12948e-13, 1.30304, 7.388094e-04
5.20647e+14, 4.188502e+13, 39.0512, 3.49331e-14, -0.198397, 3.229653e-04
