Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	003001		0:01:25.073173		  FDTD		07.362			00.438
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.791200		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.550855		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:03.028842		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.714751		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.785285		  FDTD		07.317			00.393
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.763962		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.632233		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.521021		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.561252		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.651730		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.725249		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.847948		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.687318		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	003001		0:01:22.749421		  FDTD		07.384			00.460
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	003001		0:01:26.307560		  FDTD		07.364			00.441
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.623883		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.567628		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.637297		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.806247		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.615755		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.609759		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.481730		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.607440		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.634266		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.650920		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	000001		0:00:02.598145		  FDTD		07.317			00.394
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	003001		0:01:24.715174		  FDTD		07.369			00.445
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	003001		0:01:24.240794		  FDTD		07.368			00.444
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	003001		0:01:24.944280		  FDTD		07.356			00.433
 1		0128	0128	0128	4.72e-09	6.14e-09	6.14e-09	003001		0:01:29.248123		  FDTD		07.358			00.435
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	003001		0:01:25.187613		  FDTD		07.359			00.435
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	003001		0:01:26.929393		  FDTD		07.368			00.445
 1		0128	0128	0128	4.72e-09	1.23e-08	1.23e-08	003001		0:01:25.842267		  FDTD		07.356			00.433
